Moisture, Actual, Time
1074, 10.0, 1713039073.330764
1280, 9.0, 1713039074.0989876
1287, 4.5, 1713039074.8055062
1296, 4.5, 1713039075.5232663
1397, 3.9, 1713039421.769782
1408, 3.9, 1713039422.4033363
1455, 8.866666666666667, 1713039423.1581254
1517, 7.1, 1713039583.536042
1519, 7.3, 1713040339.201871
1520, 7.3, 1713040339.8627772
1569, 5.2, 1713040340.6439064
1739, 3.8, 1713040341.7950842
1740, 3.8, 1713040343.8814502
2158, 6.4, 1713040596.0016918
2436, 3.6, 1713040596.7510204
2459, 3.7000000000000006, 1713040597.506318
2544, 3.6, 1713040598.1070225
2547, 3.6, 1713040673.5893254
2634, 3.4, 1713040674.4593306
2661, 0.3, 1713040675.1734874
2672, 3.3, 1713040676.2566066
2896, 0.3, 1713040795.1037726
3041, 1.3, 1713040795.7797558
3043, 1.3, 1713040796.3714187
3045, 1.5, 1713040865.0899003
3046, 1.6333333333333335, 1713040865.948493
3047, 1.6000000000000003, 1713040866.5757973
3049, 1.24, 1713040946.848098
3050, 1.7, 1713040948.162018
3051, 1.9571428571428573, 1713040949.6727154
3103, 0.4000000000000001, 1713041048.5438938
3282, 0.5, 1713041049.6351316
