Time, Moisture
1713039073.330764, 0.5
1713039074.0989876, 0.5
1713039074.8055062, 0.5
1713039075.5232663, 0.5
1713039421.769782, 0.3
1713039422.4033363, 0.3
1713039423.1581254, 0.3
1713039583.536042, 0.3
1713040339.201871, 0.4
1713040339.8627772, 0.4
1713040340.6439064, 0.4
1713040341.7950842, 0.4
1713040343.8814502, 0.4
1713040596.0016918, 1.3
1713040596.7510204, 1.3
1713040597.506318, 1.3
1713040598.1070225, 1.3
1713040673.5893254, 1.5
1713040674.4593306, 1.5
1713040675.1734874, 1.5
1713040676.2566066, 1.5
1713040795.1037726, 1.6
1713040795.7797558, 1.6
1713040796.3714187, 1.6
1713040865.0899003, 1.7
1713040865.948493, 1.7
1713040866.5757973, 1.7
1713040946.848098, 1.8
1713040948.162018, 1.8
1713040949.6727154, 1.8
1713041048.5438938, 1.9
1713041049.6351316, 1.9
1713041050.6890876, 1.9
1713041243.0371659, 2.0
1713041243.7221212, 2.0
1713041244.3758414, 2.0
1713041245.0695715, 2.0
1713041811.4578307, 3.6
1713041813.1205478, 3.6
1713041814.2364404, 3.6
1713041815.2597396, 3.6
1713041885.4824352, 3.7
1713041886.4138734, 3.7
1713041888.6003647, 3.7
1713044589.2476866, 3.3
1713044589.9496913, 3.3
1713044590.6662433, 3.3
1713044591.3712852, 3.3
1713044785.9939525, 3.4
1713044786.5987513, 3.4
1713044787.2042224, 3.4
1713044980.0065932, 3.6
1713044981.1861935, 3.6
1713044982.1240678, 3.6
1713044983.0787587, 3.6
1713045335.1406634, 3.6
1713045336.1240368, 3.6
1713045336.776968, 3.6
1713045457.2758224, 4.5
1713045458.053748, 4.5
1713045458.7551427, 4.5
1713045459.38091, 4.5
1713047376.1939542, 6.4
1713047377.5928328, 6.4
1713047378.3862393, 6.4
1713047379.3195682, 6.4
1713047621.4422166, 7.1
1713047622.1190498, 7.1
1713047622.7346764, 7.1
1713047623.4112444, 7.1
1713047785.1490827, 8.3
1713047786.3326516, 8.3
1713047788.4973843, 8.3
1713047789.8268547, 8.3
1713047855.8736272, 10.0
1713047856.863051, 10.0
1713047858.268024, 10.0
1713047859.292856, 10.0
1713047860.2897015, 10.0
1713048060.4919336, 7.3
1713048061.5217495, 7.3
1713048062.510036, 7.3
1713048220.1714907, 3.8
1713048220.9784489, 3.8
1713048222.1223679, 3.8
1713048223.2423177, 3.8
1713048224.2383626, 3.8
1713048504.1256974, 3.9
1713048505.1443563, 3.9
1713048505.9670725, 3.9
1713048669.5243385, 9.0
1713048670.884724, 9.0
1713048671.6439788, 9.0
1713048672.4440327, 9.0
1713048739.031821, 5.2
1713048739.641223, 5.2
1713048740.1972792, 5.2
